Date,Activity,Group,Duration,Distance,Steps,Calories
11/24/14,walking,walking,6545,4.811,10332,504
11/25/14,walking,walking,5228,3.399,6910,356
11/25/14,transport,transport,845,0.603,0,0
11/26/14,walking,walking,4998,3.039,6683,318
11/27/14,walking,walking,3010,1.791,3889,188
11/27/14,transport,transport,17328,1059.803,0,0
11/28/14,walking,walking,3283,2.376,5211,249
11/29/14,walking,walking,4682,3.291,6764,345
11/29/14,transport,transport,10229,390.464,0,0
11/30/14,walking,walking,926,0.542,1212,57
