Date,Activity,Group,Duration,Distance,Steps,Calories
3/31/14,walking,walking,6527,5.154,10121,540
3/31/14,transport,transport,12131,92.230,0,0
4/1/14,walking,walking,2075,1.074,2565,113
4/1/14,transport,transport,1460,11.966,0,0
4/2/14,walking,walking,2023,1.198,2990,126
4/2/14,transport,transport,2759,19.827,0,0
4/3/14,walking,walking,1086,0.664,1569,70
4/4/14,walking,walking,2078,1.332,2954,140
4/4/14,transport,transport,3057,20.909,0,0
4/5/14,walking,walking,4350,2.968,6988,311
4/5/14,transport,transport,3268,39.161,0,0
4/6/14,walking,walking,2909,1.977,4380,207
4/6/14,transport,transport,6612,59.755,0,0
