Date,Activity,Group,Duration,Distance,Steps,Calories
6/23/14,transport,transport,1776,8.670,0,0
6/23/14,walking,walking,2485,1.553,4171,163
6/24/14,walking,walking,4835,3.849,8220,403
6/24/14,transport,transport,588,2.921,0,0
6/25/14,walking,walking,10726,7.095,14185,743
6/25/14,transport,transport,2218,6.948,0,0
6/26/14,walking,walking,13168,8.439,19509,884
6/26/14,transport,transport,1585,5.740,0,0
6/27/14,walking,walking,5000,3.262,7447,342
6/27/14,transport,transport,9746,64.349,0,0
6/28/14,walking,walking,3553,2.014,4692,211
6/28/14,transport,transport,24644,2631.927,0,0
6/29/14,walking,walking,4471,3.335,7204,349
