Date,Activity,Group,Duration,Distance,Steps,Calories
12/1/14,walking,walking,9734,6.102,13453,639
12/2/14,walking,walking,1621,1.186,2331,124
12/3/14,walking,walking,6287,4.327,9262,453
12/4/14,walking,walking,7835,5.975,12157,626
12/5/14,walking,walking,8345,6.248,12422,655
12/5/14,transport,transport,1291,3.675,0,0
12/6/14,walking,walking,6979,5.411,10763,567
12/6/14,transport,transport,958,4.998,0,0
12/7/14,walking,walking,7145,4.922,10518,516
12/8/14,walking,walking,4855,3.313,7271,347
12/8/14,transport,transport,1000,0.994,0,0
12/9/14,walking,walking,5738,3.915,8757,410
12/9/14,transport,transport,490,1.441,0,0
12/10/14,walking,walking,5624,3.916,8224,410
12/11/14,walking,walking,4789,3.702,6842,388
12/12/14,walking,walking,9764,6.886,15273,721
12/12/14,transport,transport,3478,9.775,0,0
12/13/14,walking,walking,3343,2.311,5022,242
12/14/14,walking,walking,2898,2.100,4387,220
12/15/14,walking,walking,2400,1.506,3555,158
12/16/14,walking,walking,6415,4.473,9513,469
12/17/14,walking,walking,6577,4.612,10094,483
12/17/14,transport,transport,697,2.476,0,0
12/18/14,walking,walking,5413,3.208,6410,336
12/18/14,transport,transport,10963,479.989,0,0
12/19/14,walking,walking,4100,2.473,5511,259
12/19/14,transport,transport,6316,38.991,0,0
12/20/14,walking,walking,4556,2.977,6157,312
12/20/14,transport,transport,2829,5.705,0,0
12/21/14,walking,walking,5434,3.939,8040,413
12/21/14,transport,transport,661,1.412,0,0
12/22/14,walking,walking,1184,0.773,1593,81
12/22/14,transport,transport,7735,496.984,0,0
12/23/14,walking,walking,2464,1.347,3071,141
12/23/14,transport,transport,3281,20.400,0,0
12/24/14,walking,walking,3678,2.080,4615,218
12/24/14,transport,transport,1498,5.535,0,0
12/25/14,walking,walking,3215,1.516,832,159
12/26/14,walking,walking,30,0.016,51,2
