Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
3/29/14,walking,walking,2014-03-29T00:13:52-04:00,2014-03-29T00:17:44-04:00,232,0.145,312,15
3/29/14,walking,walking,2014-03-29T09:57:36-04:00,2014-03-29T10:01:37-04:00,241,0.109,274,11
3/29/14,walking,walking,2014-03-29T11:53:34-04:00,2014-03-29T11:56:04-04:00,150,0.094,203,10
3/29/14,walking,walking,2014-03-29T12:00:04-04:00,2014-03-29T12:14:34-04:00,870,0.566,1215,59
3/29/14,walking,walking,2014-03-29T13:30:14-04:00,2014-03-29T13:30:44-04:00,30,0.019,61,2
3/29/14,walking,walking,2014-03-29T14:08:00-04:00,2014-03-29T14:13:30-04:00,330,0.184,395,19
3/29/14,walking,walking,2014-03-29T15:37:40-04:00,2014-03-29T15:40:40-04:00,180,0.151,324,16
3/29/14,walking,walking,2014-03-29T16:40:21-04:00,2014-03-29T16:41:21-04:00,60,0.025,81,3
3/29/14,transport,transport,2014-03-29T16:45:26-04:00,2014-03-29T17:04:53-04:00,1167,4.130,0,0
3/29/14,walking,walking,2014-03-29T17:05:06-04:00,2014-03-29T17:08:06-04:00,180,0.147,314,15
3/29/14,transport,transport,2014-03-29T17:15:41-04:00,2014-03-29T17:24:29-04:00,528,2.963,0,0
3/29/14,walking,walking,2014-03-29T17:24:37-04:00,2014-03-29T17:27:37-04:00,180,0.142,304,15
3/29/14,walking,walking,2014-03-29T19:42:27-04:00,2014-03-29T19:43:00-04:00,33,0.025,79,3
3/29/14,transport,transport,2014-03-29T19:47:10-04:00,2014-03-29T20:01:40-04:00,870,5.415,0,0
3/29/14,walking,walking,2014-03-29T20:01:39-04:00,2014-03-29T20:02:22-04:00,43,0.020,64,2
3/29/14,walking,walking,2014-03-29T22:22:07-04:00,2014-03-29T22:22:37-04:00,30,0.016,51,2
3/29/14,transport,transport,2014-03-29T22:23:30-04:00,2014-03-29T22:35:09-04:00,699,6.159,0,0
3/29/14,walking,walking,2014-03-29T22:36:08-04:00,2014-03-29T22:38:38-04:00,150,0.085,182,9
3/29/14,walking,walking,2014-03-29T23:04:48-04:00,2014-03-29T23:05:48-04:00,60,0.025,81,3
