Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
5/6/14,walking,walking,2014-05-06T07:37:24-05:00,2014-05-06T07:38:24-05:00,60,0.025,81,3
5/6/14,walking,walking,2014-05-06T09:05:49-05:00,2014-05-06T09:22:24-05:00,995,0.567,1466,59
5/6/14,walking,walking,2014-05-06T10:33:55-05:00,2014-05-06T10:34:55-05:00,60,0.035,111,4
5/6/14,walking,walking,2014-05-06T10:57:01-05:00,2014-05-06T11:08:14-05:00,673,0.465,1064,49
5/6/14,walking,walking,2014-05-06T11:28:09-05:00,2014-05-06T11:29:09-05:00,60,0.019,61,2
5/6/14,walking,walking,2014-05-06T12:04:49-05:00,2014-05-06T12:05:49-05:00,60,0.029,91,3
5/6/14,walking,walking,2014-05-06T12:27:50-05:00,2014-05-06T12:37:06-05:00,556,0.436,1084,46
5/6/14,walking,walking,2014-05-06T17:51:32-05:00,2014-05-06T17:52:02-05:00,30,0.016,51,2
5/6/14,walking,walking,2014-05-06T17:52:30-05:00,2014-05-06T18:04:08-05:00,698,0.530,1099,56
5/6/14,walking,walking,2014-05-06T18:05:33-05:00,2014-05-06T18:06:10-05:00,37,0.019,60,2
5/6/14,walking,walking,2014-05-06T19:00:00-05:00,2014-05-06T19:02:53-05:00,173,0.095,204,10
5/6/14,walking,walking,2014-05-06T22:04:52-05:00,2014-05-06T22:04:55-05:00,3,0.001,2,0
