Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
12/23/14,walking,walking,2014-12-23T09:07:38-06:00,2014-12-23T09:10:08-06:00,150,0.104,223,11
12/23/14,walking,walking,2014-12-23T10:46:39-06:00,2014-12-23T10:48:09-06:00,90,0.028,71,3
12/23/14,walking,walking,2014-12-23T11:32:25-06:00,2014-12-23T11:33:55-06:00,90,0.035,111,4
12/23/14,walking,walking,2014-12-23T12:42:16-06:00,2014-12-23T12:44:16-06:00,120,0.050,163,5
12/23/14,walking,walking,2014-12-23T13:05:59-06:00,2014-12-23T13:06:29-06:00,30,0.016,51,2
12/23/14,transport,transport,2014-12-23T13:06:44-06:00,2014-12-23T13:21:23-06:00,879,5.771,0,0
12/23/14,walking,walking,2014-12-23T13:22:03-06:00,2014-12-23T13:26:33-06:00,270,0.126,264,13
12/23/14,walking,walking,2014-12-23T13:43:59-06:00,2014-12-23T13:46:35-06:00,156,0.107,211,11
12/23/14,transport,transport,2014-12-23T13:46:35-06:00,2014-12-23T13:54:26-06:00,471,3.203,0,0
12/23/14,transport,transport,2014-12-23T14:11:07-06:00,2014-12-23T14:15:53-06:00,286,2.434,0,0
12/23/14,walking,walking,2014-12-23T14:18:34-06:00,2014-12-23T14:21:04-06:00,150,0.071,152,7
12/23/14,transport,transport,2014-12-23T14:31:54-06:00,2014-12-23T14:49:17-06:00,1043,5.763,0,0
12/23/14,walking,walking,2014-12-23T14:49:50-06:00,2014-12-23T14:50:50-06:00,60,0.035,112,4
12/23/14,walking,walking,2014-12-23T15:00:50-06:00,2014-12-23T15:05:50-06:00,300,0.199,427,21
12/23/14,transport,transport,2014-12-23T15:16:43-06:00,2014-12-23T15:18:52-06:00,129,0.304,0,0
12/23/14,walking,walking,2014-12-23T15:18:51-06:00,2014-12-23T15:22:51-06:00,240,0.168,336,18
12/23/14,walking,walking,2014-12-23T15:24:22-06:00,2014-12-23T15:31:50-06:00,448,0.240,515,25
12/23/14,transport,transport,2014-12-23T15:32:56-06:00,2014-12-23T15:40:49-06:00,473,2.924,0,0
12/23/14,walking,walking,2014-12-23T15:41:50-06:00,2014-12-23T15:44:50-06:00,180,0.099,213,10
12/23/14,walking,walking,2014-12-23T20:02:30-06:00,2014-12-23T20:03:30-06:00,60,0.032,101,3
12/23/14,walking,walking,2014-12-23T21:21:21-06:00,2014-12-23T21:23:21-06:00,120,0.038,121,4
