Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
8/20/14,walking,walking,2014-08-20T00:24:18-04:00,2014-08-20T00:24:48-04:00,30,0.012,41,1
8/20/14,walking,walking,2014-08-20T07:51:58-04:00,2014-08-20T08:23:35-04:00,1897,1.472,3273,154
8/20/14,walking,walking,2014-08-20T09:50:27-04:00,2014-08-20T09:55:51-04:00,324,0.151,307,16
8/20/14,walking,walking,2014-08-20T11:43:23-04:00,2014-08-20T12:07:31-04:00,1448,1.286,2607,135
8/20/14,walking,walking,2014-08-20T12:22:36-04:00,2014-08-20T12:23:36-04:00,60,0.025,81,3
8/20/14,walking,walking,2014-08-20T14:27:26-04:00,2014-08-20T14:28:56-04:00,90,0.044,142,5
8/20/14,walking,walking,2014-08-20T15:39:33-04:00,2014-08-20T15:40:03-04:00,30,0.019,61,2
8/20/14,walking,walking,2014-08-20T15:42:21-04:00,2014-08-20T16:10:21-04:00,1680,1.360,2956,143
8/20/14,walking,walking,2014-08-20T16:59:12-04:00,2014-08-20T16:59:42-04:00,30,0.016,51,2
8/20/14,walking,walking,2014-08-20T17:03:15-04:00,2014-08-20T17:06:15-04:00,180,0.147,314,15
8/20/14,walking,walking,2014-08-20T18:20:02-04:00,2014-08-20T18:20:32-04:00,30,0.009,30,1
8/20/14,walking,walking,2014-08-20T23:02:52-04:00,2014-08-20T23:29:31-04:00,1599,1.292,2538,135
8/20/14,walking,walking,2014-08-20T23:47:58-04:00,2014-08-20T23:48:28-04:00,30,0.012,40,1
