Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
2/6/14,walking,walking,2014-02-06T08:14:55-06:00,2014-02-06T08:18:50-06:00,235,0.186,507,19
2/6/14,walking,walking,2014-02-06T08:18:51-06:00,2014-02-06T08:21:36-06:00,165,0.166,356,17
2/6/14,walking,walking,2014-02-06T08:22:56-06:00,2014-02-06T08:34:08-06:00,672,0.578,1200,61
2/6/14,walking,walking,2014-02-06T10:21:20-06:00,2014-02-06T10:37:41-06:00,981,0.644,1554,67
2/6/14,walking,walking,2014-02-06T10:38:58-06:00,2014-02-06T10:39:28-06:00,30,0.009,30,1
2/6/14,walking,walking,2014-02-06T11:42:44-06:00,2014-02-06T11:43:44-06:00,60,0.025,81,3
2/6/14,walking,walking,2014-02-06T11:52:42-06:00,2014-02-06T12:10:26-06:00,1064,0.657,1695,69
2/6/14,walking,walking,2014-02-06T12:27:20-06:00,2014-02-06T12:28:43-06:00,83,0.034,110,4
2/6/14,walking,walking,2014-02-06T14:46:55-06:00,2014-02-06T15:04:54-06:00,1079,0.611,1720,64
2/6/14,walking,walking,2014-02-06T15:06:22-06:00,2014-02-06T15:13:52-06:00,450,0.236,507,25
2/6/14,walking,walking,2014-02-06T16:54:30-06:00,2014-02-06T16:55:00-06:00,30,0.009,30,1
2/6/14,walking,walking,2014-02-06T18:03:23-06:00,2014-02-06T18:03:53-06:00,30,0.009,30,1
