Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
6/19/14,transport,transport,2014-06-19T00:00:00-04:00,2014-06-19T00:14:44-04:00,884,3.158,0,0
6/19/14,transport,transport,2014-06-19T00:41:47-04:00,2014-06-19T05:50:25-04:00,18518,266.643,0,0
6/19/14,transport,transport,2014-06-19T05:59:36-04:00,2014-06-19T10:19:28-04:00,15592,147.122,0,0
6/19/14,transport,transport,2014-06-19T10:24:24-04:00,2014-06-19T11:35:49-04:00,4285,60.125,0,0
6/19/14,walking,walking,2014-06-19T11:36:19-04:00,2014-06-19T11:36:49-04:00,30,0.009,30,1
6/19/14,transport,transport,2014-06-19T12:10:55-04:00,2014-06-19T13:51:41-04:00,6046,49.804,0,0
6/19/14,walking,walking,2014-06-19T13:55:20-04:00,2014-06-19T13:57:20-04:00,120,0.066,214,7
6/19/14,walking,walking,2014-06-19T14:01:21-04:00,2014-06-19T14:06:53-04:00,332,0.247,316,26
6/19/14,walking,walking,2014-06-19T14:08:21-04:00,2014-06-19T14:15:21-04:00,420,0.260,557,27
6/19/14,transport,transport,2014-06-19T14:49:02-04:00,2014-06-19T16:03:45-04:00,4483,40.310,0,0
6/19/14,walking,walking,2014-06-19T16:15:33-04:00,2014-06-19T16:17:03-04:00,90,0.035,112,4
6/19/14,transport,transport,2014-06-19T16:33:06-04:00,2014-06-19T16:40:39-04:00,453,2.511,0,0
6/19/14,walking,walking,2014-06-19T16:40:50-04:00,2014-06-19T16:44:29-04:00,219,0.145,310,15
6/19/14,walking,walking,2014-06-19T17:00:00-04:00,2014-06-19T17:02:21-04:00,141,0.073,157,8
6/19/14,walking,walking,2014-06-19T17:03:46-04:00,2014-06-19T17:06:21-04:00,155,0.071,198,7
6/19/14,transport,transport,2014-06-19T17:06:21-04:00,2014-06-19T17:11:09-04:00,288,0.641,0,0
6/19/14,walking,walking,2014-06-19T17:11:51-04:00,2014-06-19T17:14:51-04:00,180,0.155,334,16
6/19/14,transport,transport,2014-06-19T17:30:51-04:00,2014-06-19T17:38:15-04:00,444,2.681,0,0
6/19/14,walking,walking,2014-06-19T17:40:53-04:00,2014-06-19T17:41:53-04:00,60,0.029,91,3
6/19/14,walking,walking,2014-06-19T18:17:37-04:00,2014-06-19T18:19:10-04:00,93,0.042,137,4
6/19/14,walking,walking,2014-06-19T19:50:59-04:00,2014-06-19T19:53:29-04:00,150,0.070,112,7
6/19/14,walking,walking,2014-06-19T20:34:07-04:00,2014-06-19T20:34:37-04:00,30,0.009,30,1
6/19/14,walking,walking,2014-06-19T21:05:24-04:00,2014-06-19T21:05:54-04:00,30,0.016,51,2
6/19/14,walking,walking,2014-06-19T23:41:43-04:00,2014-06-19T23:42:24-04:00,41,0.014,44,1
