Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
7/15/14,walking,walking,2014-07-15T09:02:22-04:00,2014-07-15T09:07:39-04:00,317,0.281,538,29
7/15/14,walking,walking,2014-07-15T09:09:35-04:00,2014-07-15T09:10:05-04:00,30,0.009,20,1
7/15/14,transport,transport,2014-07-15T09:17:11-04:00,2014-07-15T09:42:14-04:00,1503,2.986,0,0
7/15/14,walking,walking,2014-07-15T09:42:14-04:00,2014-07-15T09:48:48-04:00,394,0.289,685,30
7/15/14,walking,walking,2014-07-15T09:53:14-04:00,2014-07-15T09:53:44-04:00,30,0.009,30,1
7/15/14,walking,walking,2014-07-15T11:08:28-04:00,2014-07-15T11:09:58-04:00,90,0.028,81,3
7/15/14,walking,walking,2014-07-15T12:24:09-04:00,2014-07-15T12:37:52-04:00,823,0.360,1092,38
7/15/14,walking,walking,2014-07-15T12:40:49-04:00,2014-07-15T12:41:19-04:00,30,0.022,71,2
7/15/14,walking,walking,2014-07-15T12:42:21-04:00,2014-07-15T12:55:47-04:00,806,0.407,1259,43
7/15/14,walking,walking,2014-07-15T13:44:51-04:00,2014-07-15T13:45:51-04:00,60,0.032,101,3
7/15/14,walking,walking,2014-07-15T14:02:58-04:00,2014-07-15T14:03:58-04:00,60,0.032,101,3
7/15/14,walking,walking,2014-07-15T14:09:15-04:00,2014-07-15T14:23:06-04:00,831,0.524,1159,55
7/15/14,walking,walking,2014-07-15T14:33:36-04:00,2014-07-15T14:35:06-04:00,90,0.035,112,4
7/15/14,walking,walking,2014-07-15T16:10:05-04:00,2014-07-15T16:10:35-04:00,30,0.016,51,2
7/15/14,walking,walking,2014-07-15T17:36:34-04:00,2014-07-15T17:39:23-04:00,169,0.079,126,8
7/15/14,walking,walking,2014-07-15T18:01:37-04:00,2014-07-15T18:08:37-04:00,420,0.221,475,23
7/15/14,transport,transport,2014-07-15T18:51:41-04:00,2014-07-15T19:26:49-04:00,2108,3.447,0,0
7/15/14,walking,walking,2014-07-15T19:26:49-04:00,2014-07-15T19:34:55-04:00,486,0.305,729,32
7/15/14,walking,walking,2014-07-15T19:37:49-04:00,2014-07-15T19:38:19-04:00,30,0.019,61,2
7/15/14,walking,walking,2014-07-15T20:25:16-04:00,2014-07-15T20:25:46-04:00,30,0.009,20,1
