Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
7/19/14,walking,walking,2014-07-19T09:50:31-05:00,2014-07-19T09:51:31-05:00,60,0.019,61,2
7/19/14,walking,walking,2014-07-19T12:10:41-05:00,2014-07-19T12:12:11-05:00,90,0.044,142,5
7/19/14,walking,walking,2014-07-19T14:29:29-05:00,2014-07-19T14:30:29-05:00,60,0.019,61,2
7/19/14,walking,walking,2014-07-19T14:32:41-05:00,2014-07-19T15:09:05-05:00,2184,1.726,4059,181
7/19/14,walking,walking,2014-07-19T15:24:23-05:00,2014-07-19T15:28:37-05:00,254,0.140,450,15
7/19/14,walking,walking,2014-07-19T15:36:02-05:00,2014-07-19T15:37:02-05:00,60,0.022,71,2
7/19/14,walking,walking,2014-07-19T15:40:27-05:00,2014-07-19T15:56:47-05:00,980,0.588,1601,62
7/19/14,walking,walking,2014-07-19T15:59:09-05:00,2014-07-19T15:59:39-05:00,30,0.022,71,2
7/19/14,walking,walking,2014-07-19T17:33:30-05:00,2014-07-19T17:38:00-05:00,270,0.165,355,17
7/19/14,walking,walking,2014-07-19T18:08:59-05:00,2014-07-19T18:13:29-05:00,270,0.156,335,16
7/19/14,walking,walking,2014-07-19T19:06:16-05:00,2014-07-19T19:06:46-05:00,30,0.012,40,1
7/19/14,walking,walking,2014-07-19T19:07:44-05:00,2014-07-19T19:21:50-05:00,846,0.536,1530,56
7/19/14,car,transport,2014-07-19T19:21:50-05:00,2014-07-19T19:34:01-05:00,731,1.662,0,0
7/19/14,walking,walking,2014-07-19T19:38:21-05:00,2014-07-19T19:40:21-05:00,120,0.056,112,6
7/19/14,walking,walking,2014-07-19T23:19:33-05:00,2014-07-19T23:20:03-05:00,30,0.009,30,1
