Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
8/12/14,walking,walking,2014-08-12T06:46:34-04:00,2014-08-12T06:48:36-04:00,122,0.057,92,6
8/12/14,walking,walking,2014-08-12T07:24:40-04:00,2014-08-12T07:25:10-04:00,30,0.012,41,1
8/12/14,walking,walking,2014-08-12T07:57:53-04:00,2014-08-12T08:09:03-04:00,670,0.505,1510,53
8/12/14,walking,walking,2014-08-12T08:10:26-04:00,2014-08-12T08:11:56-04:00,90,0.050,162,5
8/12/14,walking,walking,2014-08-12T08:27:55-04:00,2014-08-12T08:35:59-04:00,484,0.446,909,47
8/12/14,walking,walking,2014-08-12T08:38:27-04:00,2014-08-12T08:41:27-04:00,180,0.189,405,20
8/12/14,walking,walking,2014-08-12T10:09:13-04:00,2014-08-12T10:16:59-04:00,466,0.376,734,39
8/12/14,walking,walking,2014-08-12T10:22:49-04:00,2014-08-12T10:30:35-04:00,466,0.383,954,40
8/12/14,walking,walking,2014-08-12T11:46:05-04:00,2014-08-12T11:49:38-04:00,213,0.159,342,17
8/12/14,walking,walking,2014-08-12T12:00:13-04:00,2014-08-12T12:08:15-04:00,482,0.247,529,26
8/12/14,walking,walking,2014-08-12T12:57:09-04:00,2014-08-12T13:06:21-04:00,552,0.428,957,45
8/12/14,walking,walking,2014-08-12T13:46:38-04:00,2014-08-12T13:47:38-04:00,60,0.032,102,3
8/12/14,walking,walking,2014-08-12T13:50:08-04:00,2014-08-12T14:01:06-04:00,658,0.492,1017,52
8/12/14,walking,walking,2014-08-12T15:16:15-04:00,2014-08-12T15:19:48-04:00,213,0.155,331,16
8/12/14,walking,walking,2014-08-12T16:47:51-04:00,2014-08-12T16:51:15-04:00,204,0.096,207,10
8/12/14,walking,walking,2014-08-12T17:32:49-04:00,2014-08-12T17:35:22-04:00,153,0.121,258,13
8/12/14,walking,walking,2014-08-12T18:24:30-04:00,2014-08-12T18:25:30-04:00,60,0.022,71,2
8/12/14,walking,walking,2014-08-12T18:38:55-04:00,2014-08-12T18:50:09-04:00,674,0.466,789,49
8/12/14,walking,walking,2014-08-12T18:52:08-04:00,2014-08-12T18:52:38-04:00,30,0.016,51,2
8/12/14,walking,walking,2014-08-12T18:54:01-04:00,2014-08-12T19:01:25-04:00,444,0.191,612,20
8/12/14,walking,walking,2014-08-12T19:06:38-04:00,2014-08-12T19:07:08-04:00,30,0.016,51,2
8/12/14,walking,walking,2014-08-12T21:54:27-04:00,2014-08-12T21:54:57-04:00,30,0.016,51,2
8/12/14,walking,walking,2014-08-12T23:36:26-04:00,2014-08-12T23:37:26-04:00,60,0.019,50,2
