Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
10/24/14,walking,walking,2014-10-24T06:48:38-05:00,2014-10-24T06:49:43-05:00,65,0.020,44,2
10/24/14,walking,walking,2014-10-24T08:40:10-05:00,2014-10-24T09:02:02-05:00,1312,1.305,2372,137
10/24/14,walking,walking,2014-10-24T09:06:25-05:00,2014-10-24T09:09:26-05:00,181,0.100,214,10
10/24/14,walking,walking,2014-10-24T10:21:00-05:00,2014-10-24T10:24:30-05:00,210,0.123,264,13
10/24/14,walking,walking,2014-10-24T11:00:45-05:00,2014-10-24T11:02:45-05:00,120,0.063,203,7
10/24/14,walking,walking,2014-10-24T13:48:32-05:00,2014-10-24T13:48:39-05:00,7,0.002,8,0
10/24/14,walking,walking,2014-10-24T13:49:23-05:00,2014-10-24T14:18:30-05:00,1747,1.402,2581,147
10/24/14,walking,walking,2014-10-24T14:21:59-05:00,2014-10-24T14:24:59-05:00,180,0.104,224,11
10/24/14,walking,walking,2014-10-24T14:31:28-05:00,2014-10-24T14:33:30-05:00,122,0.085,206,9
10/24/14,transport,transport,2014-10-24T14:33:29-05:00,2014-10-24T16:50:15-05:00,8206,98.594,0,0
10/24/14,transport,transport,2014-10-24T16:58:54-05:00,2014-10-24T17:08:41-05:00,587,0.857,0,0
10/24/14,walking,walking,2014-10-24T17:11:59-05:00,2014-10-24T17:16:17-05:00,258,0.121,251,13
10/24/14,walking,walking,2014-10-24T18:32:35-05:00,2014-10-24T18:34:15-05:00,100,0.031,100,3
10/24/14,transport,transport,2014-10-24T20:11:49-05:00,2014-10-24T20:24:38-05:00,769,0.660,0,0
10/24/14,walking,walking,2014-10-24T20:24:38-05:00,2014-10-24T20:28:08-05:00,210,0.099,233,10
10/24/14,transport,transport,2014-10-24T20:28:08-05:00,2014-10-24T20:32:03-05:00,235,0.981,0,0
10/24/14,walking,walking,2014-10-24T20:33:38-05:00,2014-10-24T20:35:08-05:00,90,0.038,122,4
