Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
4/10/14,walking,walking,2014-04-10T07:13:12-05:00,2014-04-10T07:14:42-05:00,90,0.041,132,4
4/10/14,walking,walking,2014-04-10T08:00:54-05:00,2014-04-10T08:01:24-05:00,30,0.009,30,1
4/10/14,walking,walking,2014-04-10T08:09:55-05:00,2014-04-10T08:16:05-05:00,370,0.349,572,37
4/10/14,transport,transport,2014-04-10T08:16:04-05:00,2014-04-10T09:05:42-05:00,2978,29.374,0,0
4/10/14,walking,walking,2014-04-10T09:05:42-05:00,2014-04-10T09:07:52-05:00,130,0.052,165,5
4/10/14,walking,walking,2014-04-10T09:19:49-05:00,2014-04-10T09:20:49-05:00,60,0.022,71,2
4/10/14,walking,walking,2014-04-10T10:46:27-05:00,2014-04-10T10:47:27-05:00,60,0.032,101,3
4/10/14,transport,transport,2014-04-10T10:53:14-05:00,2014-04-10T11:07:29-05:00,855,5.346,0,0
4/10/14,walking,walking,2014-04-10T11:07:28-05:00,2014-04-10T11:10:29-05:00,181,0.060,194,6
4/10/14,walking,walking,2014-04-10T11:10:29-05:00,2014-04-10T11:19:59-05:00,570,0.373,801,39
4/10/14,walking,walking,2014-04-10T12:00:14-05:00,2014-04-10T12:14:45-05:00,871,0.529,1135,55
4/10/14,transport,transport,2014-04-10T12:34:20-05:00,2014-04-10T13:16:11-05:00,2511,33.450,0,0
4/10/14,walking,walking,2014-04-10T13:18:54-05:00,2014-04-10T13:20:24-05:00,90,0.050,162,5
4/10/14,walking,walking,2014-04-10T13:26:53-05:00,2014-04-10T13:40:56-05:00,843,0.523,1330,55
4/10/14,walking,walking,2014-04-10T14:25:28-05:00,2014-04-10T14:36:08-05:00,640,0.580,1214,61
4/10/14,walking,walking,2014-04-10T14:37:29-05:00,2014-04-10T14:37:59-05:00,30,0.016,51,2
4/10/14,walking,walking,2014-04-10T15:02:58-05:00,2014-04-10T15:03:58-05:00,60,0.032,101,3
4/10/14,walking,walking,2014-04-10T16:36:15-05:00,2014-04-10T16:36:45-05:00,30,0.012,40,1
4/10/14,walking,walking,2014-04-10T16:38:15-05:00,2014-04-10T16:56:11-05:00,1076,0.682,1590,71
4/10/14,walking,walking,2014-04-10T16:58:56-05:00,2014-04-10T16:59:26-05:00,30,0.019,61,2
4/10/14,walking,walking,2014-04-10T17:52:29-05:00,2014-04-10T18:03:44-05:00,675,0.502,1049,53
4/10/14,walking,walking,2014-04-10T20:17:24-05:00,2014-04-10T20:22:12-05:00,288,0.180,385,19
