Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
12/1/13,walking,walking,2013-12-01T13:02:35-05:00,2013-12-01T13:13:25-05:00,650,0.889,1192,93
12/1/13,walking,walking,2013-12-01T13:14:59-05:00,2013-12-01T13:15:42-05:00,43,0.016,50,2
12/1/13,walking,walking,2013-12-01T14:20:01-05:00,2013-12-01T14:32:08-05:00,727,0.919,1319,96
12/1/13,walking,walking,2013-12-01T14:38:40-05:00,2013-12-01T14:40:13-05:00,93,0.026,84,3
12/1/13,transport,transport,2013-12-01T14:43:27-05:00,2013-12-01T14:51:47-05:00,500,3.104,0,0
12/1/13,walking,walking,2013-12-01T14:52:19-05:00,2013-12-01T14:55:04-05:00,165,0.104,224,11
12/1/13,walking,walking,2013-12-01T15:02:06-05:00,2013-12-01T15:08:46-05:00,400,0.306,656,32
12/1/13,walking,walking,2013-12-01T15:36:02-05:00,2013-12-01T15:38:03-05:00,121,0.146,211,15
12/1/13,transport,transport,2013-12-01T15:38:03-05:00,2013-12-01T15:44:30-05:00,387,2.307,0,0
12/1/13,walking,walking,2013-12-01T15:46:33-05:00,2013-12-01T15:48:00-05:00,87,0.040,128,4
12/1/13,walking,walking,2013-12-01T16:00:00-05:00,2013-12-01T16:00:03-05:00,3,0.001,4,0
12/1/13,walking,walking,2013-12-01T17:18:43-05:00,2013-12-01T17:21:13-05:00,150,0.094,202,10
12/1/13,transport,transport,2013-12-01T17:27:54-05:00,2013-12-01T17:29:50-05:00,116,0.743,0,0
12/1/13,walking,walking,2013-12-01T17:36:03-05:00,2013-12-01T17:36:37-05:00,34,0.011,33,1
12/1/13,transport,transport,2013-12-01T17:40:53-05:00,2013-12-01T18:58:54-05:00,4681,39.668,0,0
12/1/13,walking,walking,2013-12-01T18:58:54-05:00,2013-12-01T19:10:02-05:00,668,0.503,1106,53
12/1/13,walking,walking,2013-12-01T19:13:36-05:00,2013-12-01T19:30:23-05:00,1007,0.704,1428,74
12/1/13,transport,transport,2013-12-01T19:39:36-05:00,2013-12-01T20:06:15-05:00,1599,14.161,0,0
12/1/13,transport,transport,2013-12-01T20:18:56-05:00,2013-12-01T21:01:10-05:00,2534,25.392,0,0
12/1/13,walking,walking,2013-12-01T21:01:09-05:00,2013-12-01T21:03:39-05:00,150,0.104,264,11
12/1/13,running,running,2013-12-01T21:03:40-05:00,2013-12-01T21:07:12-05:00,212,0.316,339,40
12/1/13,walking,walking,2013-12-01T21:07:12-05:00,2013-12-01T21:08:10-05:00,58,0.027,89,3
12/1/13,walking,walking,2013-12-01T22:29:49-05:00,2013-12-01T22:31:19-05:00,90,0.035,111,4
12/1/13,walking,walking,2013-12-01T23:47:02-05:00,2013-12-01T23:50:32-05:00,210,0.112,241,12
12/2/13,walking,walking,2013-12-02T09:14:33-05:00,2013-12-02T09:15:59-05:00,86,0.032,104,3
12/2/13,walking,walking,2013-12-02T12:40:57-05:00,2013-12-02T12:43:45-05:00,168,0.069,147,7
12/2/13,walking,walking,2013-12-02T15:30:25-05:00,2013-12-02T15:30:55-05:00,30,0.012,40,1
12/2/13,walking,walking,2013-12-02T20:06:35-05:00,2013-12-02T20:07:05-05:00,30,0.009,30,1
12/2/13,walking,walking,2013-12-02T21:00:53-05:00,2013-12-02T21:01:23-05:00,30,0.009,30,1
12/2/13,walking,walking,2013-12-02T22:40:23-05:00,2013-12-02T22:40:53-05:00,30,0.009,30,1
12/2/13,walking,walking,2013-12-02T23:35:17-05:00,2013-12-02T23:36:47-05:00,90,0.050,162,5
12/3/13,walking,walking,2013-12-03T00:00:34-05:00,2013-12-03T00:01:22-05:00,48,0.019,60,2
12/3/13,walking,walking,2013-12-03T09:03:44-05:00,2013-12-03T09:05:44-05:00,120,0.069,223,7
12/3/13,walking,walking,2013-12-03T10:00:35-05:00,2013-12-03T10:01:35-05:00,60,0.025,81,3
12/3/13,walking,walking,2013-12-03T11:04:28-05:00,2013-12-03T11:06:28-05:00,120,0.044,141,5
12/3/13,walking,walking,2013-12-03T12:05:01-05:00,2013-12-03T12:09:19-05:00,258,0.096,207,10
12/3/13,walking,walking,2013-12-03T13:56:03-05:00,2013-12-03T14:05:19-05:00,556,0.354,918,37
12/3/13,walking,walking,2013-12-03T14:05:24-05:00,2013-12-03T14:06:41-05:00,77,0.029,94,3
12/3/13,transport,transport,2013-12-03T14:26:30-05:00,2013-12-03T14:28:40-05:00,130,0.864,0,0
12/3/13,walking,walking,2013-12-03T14:28:50-05:00,2013-12-03T14:29:20-05:00,30,0.016,51,2
12/3/13,walking,walking,2013-12-03T15:00:00-05:00,2013-12-03T15:01:00-05:00,60,0.035,111,4
12/3/13,transport,transport,2013-12-03T15:01:35-05:00,2013-12-03T15:03:44-05:00,129,1.015,0,0
12/3/13,walking,walking,2013-12-03T15:13:44-05:00,2013-12-03T15:17:14-05:00,210,0.156,335,16
12/3/13,walking,walking,2013-12-03T19:17:01-05:00,2013-12-03T19:18:31-05:00,90,0.057,183,6
12/3/13,walking,walking,2013-12-03T20:25:39-05:00,2013-12-03T20:26:09-05:00,30,0.025,81,3
12/3/13,transport,transport,2013-12-03T20:42:20-05:00,2013-12-03T20:51:08-05:00,528,0.361,0,0
12/3/13,walking,walking,2013-12-03T21:52:07-05:00,2013-12-03T21:57:07-05:00,300,0.175,375,18
12/3/13,walking,walking,2013-12-03T22:03:07-05:00,2013-12-03T22:06:07-05:00,180,0.127,273,13
12/4/13,transport,transport,2013-12-04T12:48:13-05:00,2013-12-04T13:38:23-05:00,3010,42.396,0,0
12/4/13,walking,walking,2013-12-04T13:38:22-05:00,2013-12-04T13:41:20-05:00,178,0.103,220,11
12/4/13,walking,walking,2013-12-04T13:47:18-05:00,2013-12-04T13:49:54-05:00,156,0.086,116,9
12/4/13,walking,walking,2013-12-04T13:53:21-05:00,2013-12-04T13:53:51-05:00,30,0.012,41,1
12/4/13,walking,walking,2013-12-04T14:26:24-05:00,2013-12-04T14:27:24-05:00,60,0.019,60,2
12/4/13,transport,transport,2013-12-04T15:26:39-05:00,2013-12-04T17:13:04-05:00,6385,956.132,0,0
