Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
9/24/14,transport,transport,2014-09-24T21:27:44-05:00,2014-09-24T21:43:37-05:00,953,4.269,0,0
9/24/14,walking,walking,2014-09-24T22:13:47-05:00,2014-09-24T22:14:17-05:00,30,0.009,20,1
9/25/14,walking,walking,2014-09-25T06:07:25-05:00,2014-09-25T06:09:25-05:00,120,0.080,172,8
9/25/14,walking,walking,2014-09-25T06:32:46-05:00,2014-09-25T06:58:51-05:00,1565,1.414,2350,148
9/25/14,walking,walking,2014-09-25T07:00:10-05:00,2014-09-25T07:01:10-05:00,60,0.025,81,3
9/25/14,walking,walking,2014-09-25T07:52:01-05:00,2014-09-25T07:58:39-05:00,398,0.193,589,20
9/25/14,walking,walking,2014-09-25T08:01:07-05:00,2014-09-25T08:05:37-05:00,270,0.180,386,19
9/25/14,walking,walking,2014-09-25T09:37:00-05:00,2014-09-25T09:42:00-05:00,300,0.185,396,19
9/25/14,walking,walking,2014-09-25T11:14:37-05:00,2014-09-25T11:18:37-05:00,240,0.165,355,17
9/25/14,walking,walking,2014-09-25T13:10:51-05:00,2014-09-25T13:37:24-05:00,1593,1.542,2601,162
9/25/14,walking,walking,2014-09-25T13:39:21-05:00,2014-09-25T13:40:51-05:00,90,0.041,132,4
9/25/14,walking,walking,2014-09-25T13:47:45-05:00,2014-09-25T13:50:58-05:00,193,0.171,349,18
9/25/14,walking,walking,2014-09-25T13:53:22-05:00,2014-09-25T13:54:52-05:00,90,0.041,132,4
9/25/14,walking,walking,2014-09-25T15:00:49-05:00,2014-09-25T15:02:19-05:00,90,0.053,173,6
9/25/14,walking,walking,2014-09-25T16:59:19-05:00,2014-09-25T16:59:49-05:00,30,0.009,20,1
9/25/14,walking,walking,2014-09-25T17:01:35-05:00,2014-09-25T17:09:51-05:00,496,0.452,808,47
9/25/14,walking,walking,2014-09-25T17:45:41-05:00,2014-09-25T17:46:41-05:00,60,0.019,60,2
9/25/14,walking,walking,2014-09-25T20:10:16-05:00,2014-09-25T20:11:16-05:00,60,0.032,102,3
9/25/14,walking,walking,2014-09-25T20:13:42-05:00,2014-09-25T20:21:53-05:00,491,0.445,852,47
9/25/14,walking,walking,2014-09-25T21:35:25-05:00,2014-09-25T21:39:15-05:00,230,0.107,178,11
9/25/14,walking,walking,2014-09-25T22:28:44-05:00,2014-09-25T22:29:14-05:00,30,0.012,41,1
9/26/14,walking,walking,2014-09-26T05:00:02-05:00,2014-09-26T05:00:32-05:00,30,0.009,20,1
9/26/14,walking,walking,2014-09-26T06:34:17-05:00,2014-09-26T06:57:05-05:00,1368,1.188,2301,124
9/26/14,walking,walking,2014-09-26T06:58:33-05:00,2014-09-26T06:59:33-05:00,60,0.035,112,4
9/26/14,walking,walking,2014-09-26T07:51:30-05:00,2014-09-26T07:54:59-05:00,209,0.126,269,13
9/26/14,walking,walking,2014-09-26T08:00:00-05:00,2014-09-26T08:04:01-05:00,241,0.149,320,16
9/26/14,walking,walking,2014-09-26T09:35:42-05:00,2014-09-26T09:36:12-05:00,30,0.009,30,1
9/26/14,walking,walking,2014-09-26T11:08:41-05:00,2014-09-26T11:20:00-05:00,679,0.411,883,43
9/26/14,walking,walking,2014-09-26T12:04:47-05:00,2014-09-26T12:05:17-05:00,30,0.009,30,1
9/26/14,walking,walking,2014-09-26T12:07:51-05:00,2014-09-26T12:24:31-05:00,1000,0.657,1270,69
9/26/14,walking,walking,2014-09-26T13:42:18-05:00,2014-09-26T14:01:56-05:00,1178,0.656,1564,69
9/26/14,walking,walking,2014-09-26T14:41:02-05:00,2014-09-26T14:42:02-05:00,60,0.032,102,3
9/26/14,walking,walking,2014-09-26T15:07:42-05:00,2014-09-26T15:11:12-05:00,210,0.098,163,10
9/26/14,walking,walking,2014-09-26T16:07:03-05:00,2014-09-26T16:31:08-05:00,1445,1.184,2392,124
9/26/14,walking,walking,2014-09-26T16:31:36-05:00,2014-09-26T16:32:06-05:00,30,0.009,30,1
9/26/14,walking,walking,2014-09-26T16:34:06-05:00,2014-09-26T17:07:45-05:00,2019,1.982,3505,208
9/26/14,walking,walking,2014-09-26T17:11:06-05:00,2014-09-26T17:12:36-05:00,90,0.028,81,3
9/26/14,walking,walking,2014-09-26T18:24:57-05:00,2014-09-26T18:27:02-05:00,125,0.068,145,7
9/26/14,walking,walking,2014-09-26T19:11:54-05:00,2014-09-26T19:14:24-05:00,150,0.128,274,13
9/26/14,walking,walking,2014-09-26T20:10:54-05:00,2014-09-26T20:13:54-05:00,180,0.137,294,14
9/27/14,walking,walking,2014-09-27T08:35:15-05:00,2014-09-27T08:47:51-05:00,756,0.602,1340,63
9/27/14,walking,walking,2014-09-27T08:57:26-05:00,2014-09-27T09:20:00-05:00,1354,0.858,1558,90
9/27/14,walking,walking,2014-09-27T10:04:30-05:00,2014-09-27T10:06:03-05:00,93,0.049,158,5
9/27/14,walking,walking,2014-09-27T12:02:26-05:00,2014-09-27T12:02:56-05:00,30,0.012,41,1
9/27/14,transport,transport,2014-09-27T14:25:05-05:00,2014-09-27T14:37:35-05:00,750,0.536,0,0
9/27/14,walking,walking,2014-09-27T14:41:02-05:00,2014-09-27T14:43:32-05:00,150,0.109,233,11
