Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
1/13/14,walking,walking,2014-01-13T08:42:40-06:00,2014-01-13T08:43:10-06:00,30,0.016,51,2
1/13/14,walking,walking,2014-01-13T08:56:57-06:00,2014-01-13T09:05:42-06:00,525,0.572,983,60
1/13/14,walking,walking,2014-01-13T09:05:41-06:00,2014-01-13T09:09:12-06:00,211,0.180,387,19
1/13/14,walking,walking,2014-01-13T10:24:18-06:00,2014-01-13T10:25:18-06:00,60,0.032,101,3
1/13/14,walking,walking,2014-01-13T12:09:04-06:00,2014-01-13T12:21:45-06:00,761,0.803,1318,84
1/13/14,walking,walking,2014-01-13T12:27:02-06:00,2014-01-13T12:28:02-06:00,60,0.022,70,2
1/13/14,walking,walking,2014-01-13T13:07:16-06:00,2014-01-13T13:08:16-06:00,60,0.025,81,3
1/13/14,walking,walking,2014-01-13T13:14:44-06:00,2014-01-13T13:29:16-06:00,872,0.639,1362,67
1/13/14,walking,walking,2014-01-13T16:03:29-06:00,2014-01-13T16:13:31-06:00,602,0.437,1085,46
1/13/14,transport,transport,2014-01-13T16:13:30-06:00,2014-01-13T16:41:01-06:00,1651,4.615,0,0
1/13/14,walking,walking,2014-01-13T16:41:02-06:00,2014-01-13T16:44:45-06:00,223,0.244,430,26
1/13/14,walking,walking,2014-01-13T16:50:02-06:00,2014-01-13T16:51:02-06:00,60,0.012,41,1
1/13/14,walking,walking,2014-01-13T17:30:07-06:00,2014-01-13T17:31:07-06:00,60,0.035,111,4
1/13/14,walking,walking,2014-01-13T18:11:15-06:00,2014-01-13T18:12:15-06:00,60,0.035,112,4
1/13/14,walking,walking,2014-01-13T18:16:15-06:00,2014-01-13T18:23:47-06:00,452,0.384,784,40
1/13/14,walking,walking,2014-01-13T19:37:56-06:00,2014-01-13T19:38:26-06:00,30,0.016,51,2
1/13/14,walking,walking,2014-01-13T19:43:56-06:00,2014-01-13T19:48:57-06:00,301,0.302,508,32
1/13/14,transport,transport,2014-01-13T19:58:24-06:00,2014-01-13T20:12:58-06:00,874,2.346,0,0
1/13/14,walking,walking,2014-01-13T20:12:57-06:00,2014-01-13T20:21:57-06:00,540,0.516,864,54
1/13/14,walking,walking,2014-01-13T20:21:58-06:00,2014-01-13T20:25:58-06:00,240,0.131,281,14
